budget_imdb;rating_imdb;votes_imdb;director_imdb;popularity_imdb;wins;nominations;oscars_won;bin_oscar_nom;revenue
-1;6.0;27;Léo Joannon;NaN;0;0;0;0;0
-1;6.7;96;Friz Freleng (as I. Freleng);NaN;0;0;0;0;0
-1;6.2;169;Herbert Wilcox;NaN;0;0;0;0;0
-1;6.8;142;;NaN;2;0;1;1;0
-1;6.2;382;Harry Lachman;NaN;0;0;0;0;0
-1;8.0;8079;Carl Theodor Dreyer;NaN;1;1;0;0;0
-1;7.2;963;Vincent Sherman;NaN;2;0;0;0;0
-1;7.7;5415;Henry King;NaN;4;4;4;1;0
-1;7.2;4221;Delmer Daves;NaN;0;0;0;0;0
-1;7.3;251;Friz Freleng (as I. Freleng);NaN;0;0;0;0;0
-1;6.9;108;Frank R. Strayer (as Frank Strayer);NaN;0;0;0;0;0
-1;7.4;3367;;NaN;5;5;1;1;0
-1;7.8;5229;George Stevens;NaN;0;1;1;1;0
-1;6.8;451;Jean Grémillon;NaN;0;0;0;0;0
-1;7.6;3583;Jack Kinney (uncredited);NaN;0;0;1;1;0
-1;7.0;7544;Sam Wood;NaN;3;3;1;1;0
-1;6.9;1387;;NaN;0;0;0;0;0
-1;7.1;1657;Clarence Brown;NaN;0;1;1;1;0
-1;6.0;1089;Lewis Milestone;NaN;0;0;0;0;0
-1;7.1;2634;Howard Hawks;NaN;0;1;1;1;0
-1;5.9;868;Michael Curtiz;NaN;0;1;1;1;0
-1;6.8;17;;NaN;0;0;0;0;0
-1;5.7;81;Chuck Jones (as Charles M. Jones);NaN;0;0;0;0;0
-1;6.7;254;Charles Barton;NaN;0;0;0;0;0
-1;6.8;375;H. Bruce Humberstone (as Bruce Humberstone);NaN;0;0;1;1;0
-1;6.5;5635;Arthur Lubin;NaN;0;1;2;1;0
-1;4.6;363;Charles McDonald;NaN;0;0;0;0;0
-1;7.2;923;Leo McCarey;NaN;11;11;7;1;0
-1;8.3;125707;Billy Wilder;4435;2;2;0;1;0
-1;8.0;38117;Otto Preminger;NaN;2;2;1;1;0
-1;6.8;1315;Henry King;NaN;2;2;5;1;0
-1;6.4;458;Frank Ryan;NaN;0;0;0;0;0
-1;7.8;20742;George Cukor;NaN;3;3;2;1;0
-1;7.4;5886;Clarence Brown;NaN;0;1;2;1;0
-1;5.4;15;;NaN;0;0;0;0;0
-1;7.2;189;;NaN;0;0;1;1;0
-1;6.7;134;Bodil Ipsen;NaN;0;0;0;0;0
-1;6.9;42;Charles Vidor;NaN;0;4;1;1;0
-1;6.3;155;Alfred Hitchcock (uncredited);NaN;0;0;0;0;0
-1;6.9;286;Tex Avery;NaN;0;0;0;0;0
6200000;7.5;4879;Mervyn LeRoy;NaN;0;0;1;1;6200000
-1;6.6;2022;Clifford Odets;NaN;4;4;1;1;0
